aX,aY,aZ,gX,gY,gZ
0.402,0.081,0.866,-1.709,-1.404,-7.690
0.394,0.067,0.843,-2.197,-0.488,-7.263
0.408,0.073,0.867,-3.967,0.427,-6.409
0.417,0.086,0.883,-4.456,-0.488,-5.615
0.418,0.088,0.858,-2.930,-1.526,-4.639
0.425,0.070,0.873,-1.282,-3.296,-3.601
0.430,0.068,0.864,-0.244,-5.066,-2.502
0.434,0.071,0.851,0.854,-6.042,-1.526
0.445,0.063,0.831,1.343,-6.775,-0.793
0.461,0.050,0.844,1.282,-6.653,-0.244
0.473,0.054,0.849,0.305,-6.653,-0.366
0.471,0.068,0.852,-0.366,-7.690,-1.282
0.472,0.070,0.859,-0.122,-8.606,-2.075
0.476,0.078,0.870,0.427,-9.460,-2.380
0.474,0.074,0.883,0.610,-10.193,-2.563
0.485,0.080,0.893,0.244,-10.620,-2.625
0.487,0.076,0.910,0.610,-11.292,-2.808
0.478,0.082,0.911,1.587,-12.085,-3.357
0.464,0.079,0.916,2.625,-12.024,-3.540
0.455,0.079,0.917,3.174,-11.597,-3.540
0.448,0.079,0.920,3.418,-10.681,-3.235
0.443,0.080,0.927,3.418,-9.583,-2.991
0.443,0.078,0.935,3.845,-9.033,-2.808
0.444,0.075,0.930,4.150,-8.789,-2.930
0.443,0.065,0.925,4.272,-8.057,-3.174
0.443,0.049,0.923,4.272,-7.629,-3.784
0.437,0.042,0.919,4.272,-7.263,-4.822
0.429,0.037,0.910,4.089,-7.202,-5.981
0.425,0.031,0.900,3.784,-7.324,-6.836
0.417,0.022,0.894,3.479,-7.446,-7.385
0.411,0.025,0.892,3.174,-7.202,-7.446
0.404,0.031,0.889,2.441,-6.897,-6.958
0.401,0.030,0.891,2.075,-6.470,-5.859
0.398,0.026,0.884,1.831,-6.042,-4.700
0.396,0.028,0.879,1.709,-5.615,-3.723
0.396,0.026,0.872,1.770,-5.371,-2.563
0.399,0.022,0.872,1.282,-5.310,-1.099
0.400,0.019,0.869,0.732,-5.554,0.000
0.402,0.022,0.875,0.305,-6.042,0.732
0.403,0.026,0.875,0.183,-6.592,0.916
0.402,0.026,0.874,0.122,-7.629,0.854
0.400,0.029,0.866,-0.122,-8.789,0.549
0.394,0.033,0.864,-0.671,-9.155,0.366
0.387,0.037,0.865,-1.160,-8.972,0.366
0.387,0.041,0.872,-1.343,-8.850,0.610
0.387,0.046,0.875,-1.526,-8.057,1.160
0.384,0.052,0.881,-0.793,-8.301,1.770
0.389,0.055,0.876,0.366,-8.667,2.502
0.396,0.055,0.868,0.977,-9.094,3.174
0.404,0.047,0.866,1.160,-9.216,3.601
0.412,0.041,0.864,0.916,-9.460,3.601
0.417,0.043,0.864,0.488,-9.583,2.991
0.414,0.045,0.865,-0.244,-10.071,1.892
0.413,0.050,0.875,-0.671,-10.315,0.977
0.405,0.060,0.887,-0.183,-10.498,0.305
0.399,0.067,0.896,0.916,-11.353,0.122
0.253,-0.613,1.913,38.879,-74.402,-32.104
0.131,-0.770,1.919,37.048,-69.519,-45.593
-0.024,-0.906,1.916,22.766,-51.880,-57.922
-0.149,-0.988,2.000,-0.671,-22.522,-68.542
