aX,aY,aZ,gX,gY,gZ
-0.029,0.007,1.105,-4.700,-9.033,-3.784
-0.034,0.013,1.054,-2.808,-10.559,-1.709
-0.051,0.006,1.002,-2.380,-9.766,0.305
-0.049,-0.022,1.012,-2.197,-5.676,1.709
-0.065,-0.025,1.011,-2.686,-2.075,0.854
-0.072,-0.006,1.029,-3.662,0.854,-1.099
-0.084,0.007,1.067,-4.150,1.465,-2.747
-0.104,0.028,1.073,-3.540,-1.465,-3.906
-0.105,0.062,1.039,-2.869,-5.249,-4.456
-0.094,0.081,0.992,-1.526,-7.446,-4.028
-0.083,0.067,0.934,1.343,-7.568,-3.357
-0.083,0.050,0.852,3.906,-6.226,-2.869
-0.089,0.038,0.810,3.418,-3.723,-2.930
-0.073,0.022,0.816,2.380,-1.343,-3.479
-0.073,0.009,0.836,2.258,1.038,-5.066
0.038,0.140,0.930,2.014,2.808,-6.897
-0.099,0.016,0.886,2.441,1.526,-2.563
-0.141,0.037,0.881,2.625,-0.610,-3.601
-0.078,0.042,0.920,-2.869,-2.808,-5.676
-0.044,0.072,0.980,-14.099,-4.150,-4.822
-0.091,0.052,0.976,-18.311,-6.042,-1.831
-0.130,0.034,0.922,-12.817,-7.080,-0.610
-0.136,0.036,0.888,-8.484,-5.310,-0.977
-0.138,0.037,0.906,-8.728,-1.282,-0.427
-0.138,0.019,0.915,-8.911,2.930,0.366
-0.129,-0.001,0.877,-8.179,6.042,0.305
-0.117,-0.005,0.878,-12.329,10.437,-0.427
-0.098,-0.018,0.955,-21.729,16.235,-0.427
-0.085,-0.024,1.052,-33.447,18.555,-0.732
-0.077,-0.042,1.079,-42.297,14.832,-2.319
-0.082,-0.008,0.995,-48.462,8.362,-4.211
-0.067,0.036,0.926,-55.115,6.409,-4.639
-0.048,0.065,0.904,-55.847,9.827,-3.662
-0.049,0.102,0.888,-49.561,13.367,-2.014
-0.031,0.099,0.936,-39.368,15.137,1.221
-0.015,0.082,1.038,-32.227,14.709,4.822
-0.001,0.074,1.083,-28.992,10.803,7.996
-0.028,0.042,1.056,-20.508,3.418,9.277
0.014,0.079,0.977,-5.737,-3.601,7.446
0.033,0.040,0.954,7.019,-7.935,6.592
-0.043,-0.031,0.981,16.968,-10.132,7.996
-0.122,-0.116,1.031,22.949,-11.108,7.446
-0.118,-0.186,1.152,18.311,-10.559,4.272
-0.123,-0.181,1.250,8.667,-10.376,0.488
-0.116,-0.094,1.270,2.441,-9.949,-2.319
-0.101,-0.015,1.320,3.479,-8.789,-2.502
0.004,0.039,1.420,12.207,-6.714,0.000
-0.038,-0.008,1.572,22.400,-4.333,5.188
-0.253,-0.079,1.675,24.475,-2.747,9.827
-0.389,-0.229,1.870,15.747,0.732,9.766
-0.440,-0.257,2.047,-5.554,2.258,2.930
-0.295,-0.124,2.150,-28.870,-1.160,-5.493
-0.214,0.039,2.223,-47.302,-8.545,-7.812
-0.196,0.145,2.182,-62.744,-17.578,-2.869
-0.151,0.199,2.001,-69.641,-22.949,2.136
-0.099,0.255,1.846,-66.833,-21.301,4.761
-0.041,0.287,1.771,-60.059,-14.709,5.981
0.003,0.279,1.699,-48.340,-9.827,5.737
0.004,0.285,1.586,-30.334,-9.277,2.930
-0.024,0.302,1.451,-9.766,-12.390,0.183
-0.034,0.277,1.307,10.132,-16.418,0.366
-0.045,0.239,1.172,28.198,-18.127,1.770
-0.052,0.202,1.091,44.434,-16.724,2.747
-0.052,0.164,1.039,58.044,-14.099,3.235
-0.057,0.137,0.964,70.129,-11.597,2.869
-0.089,0.106,0.982,81.238,-7.629,3.418
-0.087,0.143,0.975,87.952,-4.456,3.113
-0.065,0.139,1.017,98.450,-2.991,3.296

1.471,0.615,-0.708,-29.968,139.038,-2.563
1.252,0.630,-0.521,12.207,109.192,14.587
0.821,0.491,-0.436,35.156,57.922,21.423
0.420,0.331,-0.111,24.719,6.653,12.085
-0.171,0.215,0.150,-13.977,-34.607,3.113
-0.837,-0.126,0.247,-37.598,-61.157,4.272
-1.130,-0.458,0.377,-29.907,-68.909,4.211
-0.952,-0.557,0.507,-33.630,-64.636,6.470
-0.421,-0.277,0.760,-42.664,-54.321,7.141
-0.138,0.006,0.912,-33.508,-44.495,16.418
-0.068,0.010,0.885,-5.676,-36.194,30.151
-0.043,-0.027,0.928,24.353,-30.273,35.217
-0.000,0.037,1.106,31.677,-31.250,31.860
0.078,0.290,1.073,21.545,-37.720,26.978
0.089,0.368,1.013,21.973,-38.696,29.297
0.059,0.176,1.129,25.024,-34.058,37.598
0.010,-0.046,1.262,23.376,-33.325,41.504
-0.112,-0.292,1.363,26.917,-36.133,36.499
-0.186,-0.340,1.529,28.870,-39.063,22.827
-0.362,-0.469,1.562,17.395,-41.687,9.338
-0.354,-0.369,1.704,5.554,-37.659,-10.559
-0.267,-0.125,1.752,6.226,-27.527,-28.320
-0.224,0.040,1.667,14.709,-12.939,-32.654
-0.186,0.140,1.623,22.156,4.639,-29.236
-0.129,0.200,1.573,27.161,20.752,-23.315
-0.064,0.257,1.475,33.813,31.067,-16.602
-0.022,0.255,1.378,38.696,36.377,-9.399
-0.007,0.188,1.270,42.847,38.269,-3.174
0.002,0.116,1.141,44.861,39.063,1.038
0.048,0.056,1.130,39.856,38.330,3.906
0.083,0.055,1.111,27.039,30.762,6.592
0.090,0.020,1.046,8.972,16.968,10.132
0.080,-0.043,1.010,-11.902,2.625,13.000
0.053,-0.097,0.995,-30.334,-7.935,12.146
0.002,-0.093,0.937,-44.617,-14.893,8.606
-0.069,-0.111,0.918,-50.537,-15.869,5.493
-0.119,-0.089,0.947,-52.490,-12.512,1.892
-0.126,-0.007,0.958,-51.514,-8.423,-1.404
-0.102,0.112,0.964,-43.884,-4.211,-2.197
-0.062,0.164,0.992,-27.161,0.977,-0.427
-0.044,0.172,1.016,-5.554,3.845,2.563
-0.039,0.126,1.002,11.963,2.319,5.005
-0.067,0.024,0.985,19.470,-1.099,5.371
-0.089,-0.019,1.023,15.991,-4.211,3.479
-0.084,0.003,1.043,11.597,-8.606,0.122
-0.078,0.010,1.047,9.583,-12.390,-1.465
-0.093,0.004,1.015,10.132,-12.695,-1.709
-0.094,0.016,1.015,13.062,-10.010,-1.160
-0.069,0.035,1.049,16.235,-6.775,0.122
-0.059,0.048,1.053,15.869,-5.493,2.319
-0.063,0.024,1.062,14.282,-5.005,5.066
-0.074,0.004,1.084,12.512,-4.395,6.165
-0.086,0.012,1.095,10.864,-3.723,5.859
-0.090,0.016,1.091,9.827,-2.808,5.920
-0.082,0.021,1.106,10.193,-1.038,6.042
-0.068,-0.010,1.135,8.911,-0.977,6.531
-0.065,-0.038,1.152,3.174,-3.357,6.592
-0.073,-0.062,1.158,-1.831,-7.202,6.470
-0.087,-0.044,1.138,-0.916,-11.536,4.761
-0.085,-0.024,1.120,4.211,-15.137,2.197
-0.090,-0.018,1.078,8.179,-16.663,1.465
-0.119,-0.016,1.051,7.751,-14.038,1.038
-0.135,-0.010,1.038,4.639,-7.324,1.282
-0.116,0.002,1.036,1.587,0.183,2.380
-0.085,0.001,1.042,-0.732,5.920,3.784
-0.073,-0.007,1.052,-2.747,9.766,4.761
-0.074,-0.014,1.050,-2.869,12.146,5.188
-0.007,0.065,1.067,0.061,12.329,5.676
-0.057,-0.008,1.018,5.249,9.705,9.949
-0.087,-0.105,1.003,8.911,7.324,9.583
-0.127,-0.069,0.995,11.414,6.348,2.625
-0.104,-0.028,0.993,13.245,7.202,-2.075
-0.085,0.001,0.997,14.160,9.216,-2.686
-0.081,0.000,0.998,12.817,10.559,-1.221
-0.089,0.012,1.003,10.254,10.193,0.183
-0.074,0.018,1.024,9.521,7.568,0.671
-0.051,0.009,1.045,9.521,2.930,1.221
0.019,0.030,1.058,7.996,-1.892,2.441
-0.073,-0.039,1.031,6.165,-5.493,6.958
-0.125,-0.140,1.010,2.136,-6.836,8.667
-0.109,-0.112,1.035,-0.183,-5.249,4.089
-0.056,-0.042,1.079,1.160,-4.150,-0.366
-0.041,-0.021,1.073,2.808,-6.531,-0.610
-0.056,-0.033,1.026,5.005,-10.193,0.305
-0.073,-0.042,1.001,6.775,-12.085,0.427
-0.081,-0.042,0.999,5.310,-11.780,0.183
-0.077,-0.036,1.009,2.502,-11.169,0.305
-0.074,-0.045,1.007,3.479,-10.986,0.732
-0.073,-0.048,0.995,7.080,-10.620,0.854
-0.059,-0.032,0.986,11.047,-10.010,0.488
-0.024,0.031,0.972,13.367,-9.094,2.197
-0.064,-0.006,0.955,15.442,-6.470,7.874
-0.103,-0.063,0.960,14.587,-2.197,11.658
-0.104,-0.046,1.002,12.573,2.136,11.230
-0.088,-0.063,1.028,11.780,4.517,10.742
-0.085,-0.059,1.021,8.667,5.554,9.155
-0.101,-0.081,1.011,4.211,6.592,7.385
-0.116,-0.092,1.005,-1.465,7.507,5.554
-0.102,-0.093,1.020,-8.057,7.751,3.662
-0.075,-0.099,1.046,-14.893,7.385,2.319
-0.059,-0.084,1.089,-22.217,8.057,1.099
-0.104,-0.077,1.121,-27.771,8.179,1.343
-0.123,-0.092,1.123,-31.555,8.179,1.709
-0.122,-0.089,1.122,-30.273,8.911,-0.427
-0.111,-0.038,1.146,-26.184,10.498,-3.235
-0.110,0.011,1.190,-20.752,11.963,-4.211
-0.118,0.034,1.208,-11.963,12.024,-4.456
-0.132,0.044,1.179,-2.747,11.047,-4.150
-0.124,0.047,1.160,7.202,10.498,-4.150
-0.107,0.039,1.160,14.587,10.376,-4.028
-0.090,0.034,1.146,17.578,10.132,-3.662
-0.076,0.016,1.125,20.203,10.132,-3.296
-0.062,-0.017,1.092,23.315,10.437,-3.540
-0.054,-0.043,1.071,24.048,11.047,-4.333
-0.064,-0.042,1.082,21.790,12.573,-4.883
-0.069,-0.030,1.123,19.165,13.977,-4.089
-0.043,-0.034,1.165,18.982,13.306,-2.991
-0.028,-0.035,1.197,20.325,10.437,-2.380
-0.018,-0.032,1.216,21.179,6.836,-2.502

1.418,0.496,-1.172,-6.348,132.324,2.991
1.245,0.354,-0.565,29.663,102.600,19.226
0.915,0.217,-0.156,43.579,30.029,16.052
0.328,0.205,0.124,35.278,-60.791,-3.174
-0.510,-0.044,0.357,18.494,-140.503,-18.799
-1.337,-0.412,0.613,0.732,-178.406,-27.039
-1.682,-0.376,0.970,-8.118,-149.658,-31.250
-1.407,-0.111,1.474,-10.681,-69.519,-21.423
-0.781,0.028,1.865,-17.883,10.742,3.662
