aX,aY,aZ,gX,gY,gZ
-0.080,-0.047,1.672,-6.836,-17.944,99.915
-0.052,-0.023,1.739,-5.432,-11.353,101.807
-0.029,0.033,1.725,-3.235,-7.446,102.478
-0.007,0.097,1.693,-1.648,-4.944,102.600
0.014,0.134,1.677,-1.221,-1.465,103.088
0.024,0.150,1.675,-1.465,2.869,102.722
0.032,0.209,1.727,-2.136,7.141,100.464
0.036,0.286,1.772,-2.930,10.254,97.778
0.037,0.378,1.814,-2.258,12.085,95.764
0.032,0.434,1.848,-0.183,13.550,93.323
0.024,0.480,1.866,2.747,15.381,90.027
0.004,0.532,1.843,5.188,18.921,86.304
-0.028,0.559,1.813,6.897,24.475,82.031
-0.052,0.562,1.787,7.446,32.349,77.026
-0.070,0.571,1.754,6.042,41.565,70.801
-0.103,0.599,1.698,3.357,51.270,64.209
-0.135,0.653,1.646,0.977,62.317,57.556
-0.143,0.697,1.606,-0.183,73.364,52.124
-0.133,0.713,1.566,0.732,82.764,47.791
-0.108,0.706,1.507,3.479,89.966,43.457
-0.080,0.687,1.430,7.385,94.849,38.757
-0.038,0.662,1.356,9.888,97.290,33.813
0.010,0.616,1.273,9.583,97.351,27.527
0.055,0.604,1.179,7.751,96.069,18.860

0.086,0.622,1.106,5.493,94.360,8.911
0.111,0.601,1.027,4.822,93.140,-0.854
0.154,0.590,0.988,4.211,91.431,-9.888
0.187,0.560,0.943,1.343,88.135,-18.860
0.202,0.559,0.863,-1.526,83.557,-28.625
0.209,0.549,0.799,-2.991,80.383,-37.170
0.211,0.524,0.771,-3.662,78.491,-44.067
0.218,0.519,0.748,-4.150,76.782,-49.866
0.215,0.536,0.715,-4.517,73.364,-54.260
0.202,0.535,0.672,-4.211,68.237,-56.702
0.198,0.490,0.623,-3.174,63.171,-57.861
0.197,0.454,0.567,-3.113,58.716,-59.509
0.189,0.414,0.509,-4.822,54.871,-61.768
-0.155,0.483,1.864,-2.808,26.306,107.483
-0.156,0.509,1.806,-0.916,37.964,100.525
-0.164,0.529,1.734,0.854,49.133,92.224
-0.174,0.563,1.671,1.892,58.777,83.862
-0.186,0.599,1.615,2.380,65.857,76.660
-0.195,0.643,1.558,2.380,70.557,70.862
-0.184,0.698,1.513,2.441,73.792,66.589
-0.155,0.727,1.475,3.479,76.233,63.232
-0.120,0.719,1.422,6.592,78.125,59.570
-0.086,0.707,1.356,9.583,80.627,55.115
-0.049,0.711,1.279,9.644,83.557,49.988
-0.014,0.734,1.224,7.446,87.708,44.861
0.032,0.752,1.185,4.333,92.407,39.673
0.093,0.771,1.166,1.648,96.313,33.997
0.141,0.769,1.134,0.793,98.877,26.672
0.173,0.762,1.062,1.221,99.609,17.883
0.201,0.768,0.996,1.282,99.854,8.423
0.243,0.751,0.951,0.549,99.731,-1.038
0.276,0.721,0.939,-0.244,98.389,-11.108
0.279,0.704,0.887,-0.061,93.750,-23.315
0.278,0.688,0.828,0.427,88.013,-34.790
0.268,0.642,0.780,-0.793,82.886,-44.067
0.258,0.623,0.757,-2.136,78.857,-52.856
0.245,0.630,0.721,-1.953,74.707,-60.852
0.219,0.606,0.680,-1.770,70.313,-65.735
0.199,0.586,0.641,-2.319,66.040,-68.848
0.191,0.582,0.611,-2.625,62.073,-71.045
0.189,0.563,0.582,-1.770,58.167,-72.021
0.196,0.531,0.544,-0.366,53.833,-72.510
0.201,0.491,0.502,0.610,49.194,-73.608
0.204,0.450,0.455,0.122,44.189,-75.623
0.200,0.416,0.409,-1.221,40.039,-77.942
0.180,0.389,0.356,-2.625,37.109,-80.566
0.169,0.360,0.322,-4.639,34.363,-82.886
0.148,0.319,0.291,-7.263,32.166,-84.290
0.125,0.301,0.270,-9.460,29.724,-85.510
0.107,0.286,0.248,-11.353,27.039,-86.426
0.090,0.266,0.243,-11.902,23.926,-86.975
0.075,0.238,0.249,-10.376,20.203,-87.708
0.054,0.219,0.251,-7.202,15.137,-88.623
0.040,0.195,0.247,-3.296,9.827,-88.806
0.038,0.155,0.243,0.122,5.249,-87.708
0.039,0.103,0.227,1.343,0.916,-86.121
0.039,0.052,0.201,0.671,-2.197,-84.717
0.036,0.027,0.181,-0.977,-4.211,-84.229
0.027,0.007,0.175,-2.563,-6.104,-84.412
0.023,-0.016,0.213,-3.723,-8.789,-84.473
0.028,-0.055,0.249,-4.395,-13.367,-84.351
0.029,-0.105,0.273,-3.784,-20.203,-84.839
0.020,-0.152,0.303,-2.869,-28.442,-85.388
0.020,-0.212,0.327,-4.150,-37.292,-85.083
0.020,-0.281,0.343,-7.874,-46.326,-84.229
0.009,-0.344,0.357,-13.062,-53.589,-83.313
-0.005,-0.363,0.373,-19.592,-58.105,-81.909
-0.026,-0.349,0.403,-26.428,-58.899,-78.369
-0.038,-0.352,0.449,-31.311,-58.105,-72.021
-0.029,-0.374,0.532,-33.569,-56.885,-63.782
-0.029,-0.402,0.607,-35.095,-58.228,-55.481
-0.039,-0.418,0.647,-35.767,-60.913,-48.096
-0.038,-0.402,0.699,-35.461,-63.110,-42.053
-0.022,-0.422,0.753,-33.264,-65.430,-36.194
-0.004,-0.503,0.787,-29.480,-69.214,-31.494
0.010,-0.578,0.800,-26.001,-74.036,-29.602
-0.001,-0.626,0.801,-25.940,-78.674,-30.334
-0.029,-0.653,0.816,-29.541,-81.299,-31.616
-0.060,-0.638,0.857,-35.217,-82.275,-31.311
-0.079,-0.586,0.950,-40.527,-81.421,-27.466
-0.096,-0.527,1.085,-42.908,-80.811,-18.982
-0.105,-0.494,1.227,-39.612,-82.214,-7.324
