aX,aY,aZ,gX,gY,gZ
-0.969,2.182,1.390,-291.565,-138.550,405.640
-0.729,2.485,1.673,-246.155,-117.920,362.488
-0.729,2.515,1.307,-105.225,-82.581,233.337
-0.541,2.324,0.716,41.870,-32.104,71.106
-0.308,1.526,0.529,127.502,31.921,-69.275
-0.315,0.518,0.413,185.547,96.619,-173.340
-0.312,-0.697,0.630,216.125,142.273,-245.361
-0.210,-1.881,0.870,217.102,156.006,-301.819
-0.199,-2.622,0.781,182.312,143.921,-344.971
-0.201,-2.928,0.660,104.675,120.422,-350.464
-0.406,-2.674,0.594,-3.845,89.417,-294.861
-0.260,-1.865,0.870,-132.568,41.870,-180.481
-0.286,-0.687,0.889,-206.177,-0.305,-17.700
-0.500,0.487,1.151,-211.975,-18.860,162.109
-0.524,1.385,1.219,-202.026,-44.800,304.687
-0.370,1.957,1.342,-182.251,-66.895,381.653
-0.147,2.054,1.472,-137.695,-81.970,372.437
-0.250,1.711,1.079,-43.640,-84.595,268.433
-0.244,1.556,0.887,85.266,-62.622,99.731
-0.218,1.240,0.625,163.330,-28.625,-67.932
-0.320,0.478,0.500,185.181,14.893,-188.965
-0.514,-0.647,0.498,195.435,69.153,-261.047
-0.487,-1.891,0.649,189.148,116.943,-307.129
-0.313,-2.765,0.796,137.634,141.418,-327.942
-0.344,-3.192,0.771,21.057,134.521,-297.119
0.207,-3.045,1.094,-124.878,91.309,-225.525
-0.271,-1.917,1.364,-183.411,39.551,-127.258
-0.933,-0.720,1.382,-151.367,-8.301,-7.568
-1.051,0.148,0.918,-103.516,-55.847,126.953
-1.010,1.096,1.010,-110.535,-82.764,267.578
-0.708,2.020,1.232,-139.893,-96.191,373.230
-0.315,2.537,1.367,-137.390,-94.543,416.016
-0.354,2.454,1.096,-85.266,-73.792,375.977
-0.451,2.228,0.587,18.677,-33.203,258.301
-0.354,1.763,0.244,123.474,20.020,115.356
-0.150,0.922,0.140,153.564,76.599,-11.536
0.017,-0.033,0.182,141.296,124.756,-118.286
0.122,-0.917,0.350,129.089,156.616,-204.651
0.148,-1.728,0.797,106.140,170.105,-265.564
0.184,-2.038,1.182,38.696,153.809,-294.922
