aX,aY,aZ,gX,gY,gZ
-0.171,0.203,-0.357,-7.751,44.006,-181.946
-0.178,0.143,-0.395,-7.935,31.982,-181.213
-0.181,0.082,-0.435,-11.230,19.348,-177.246
-0.172,0.025,-0.460,-17.456,5.737,-171.692
-0.147,-0.023,-0.457,-26.306,-8.240,-165.771
-0.129,-0.070,-0.433,-34.119,-23.193,-161.072
-0.122,-0.120,-0.411,-38.330,-39.001,-158.142
-0.127,-0.169,-0.383,-38.208,-56.030,-155.640
-0.129,-0.233,-0.368,-37.354,-74.768,-152.283
-0.134,-0.335,-0.392,-36.743,-93.384,-148.071
-0.117,-0.452,-0.402,-38.147,-111.023,-143.738
-0.090,-0.552,-0.385,-42.969,-127.625,-139.099
-0.094,-0.642,-0.345,-49.133,-144.775,-133.911
-0.120,-0.722,-0.319,-54.871,-162.415,-127.075
-0.132,-0.821,-0.247,-62.073,-179.749,-117.737
-0.112,-0.910,-0.112,-70.984,-197.266,-106.445
-0.094,-0.986,0.052,-76.721,-216.675,-95.276
-0.100,-1.047,0.228,-77.759,-237.366,-84.412
-0.138,-1.109,0.401,-75.623,-258.179,-73.730
-0.195,-1.174,0.575,-72.144,-276.794,-62.805
-0.269,-1.243,0.733,-71.655,-291.199,-51.086
-0.345,-1.273,0.932,-77.454,-298.889,-38.025
-0.437,-1.244,1.180,-90.332,-299.500,-21.606
-0.523,-1.197,1.479,-105.896,-292.542,-0.732
-0.579,-1.082,1.828,-115.662,-278.198,24.048
-0.599,-0.997,2.179,-113.586,-259.888,52.002
-0.634,-0.925,2.397,-99.915,-241.882,79.834
-0.653,-0.860,2.539,-82.397,-222.595,106.384
-0.657,-0.802,2.638,-70.496,-201.233,130.798
-0.652,-0.727,2.704,-64.453,-176.208,151.611
-0.641,-0.614,2.736,-62.927,-146.912,168.457
-0.618,-0.516,2.726,-64.880,-115.723,183.655
-0.602,-0.404,2.673,-69.580,-84.656,196.777
-0.615,-0.226,2.605,-74.829,-55.786,208.496
-0.596,-0.013,2.550,-82.886,-30.457,222.595
-0.566,0.215,2.478,-91.187,-7.996,238.037
-0.515,0.444,2.411,-95.825,14.038,251.404
-0.454,0.610,2.310,-94.177,35.461,260.376
-0.410,0.700,2.157,-84.717,54.626,262.268
-0.378,0.756,1.995,-75.439,69.641,256.531
-0.377,0.838,1.859,-74.463,79.041,246.887
-0.387,0.937,1.757,-79.468,84.412,236.084
-0.400,1.104,1.696,-86.365,88.196,224.609
-0.398,1.261,1.659,-93.384,93.933,214.722
-0.368,1.399,1.658,-99.792,103.210,205.200
-0.331,1.537,1.679,-102.478,114.685,192.749
-0.308,1.646,1.631,-96.985,125.977,175.659
-0.283,1.697,1.528,-86.060,137.207,155.212
-0.312,1.707,1.377,-77.332,149.475,133.362
-0.334,1.721,1.270,-74.951,161.255,111.267
-0.278,1.735,1.226,-75.012,169.922,88.318
-0.257,1.718,1.159,-72.327,173.889,64.087
-0.267,1.670,1.044,-64.941,174.744,37.292
-0.271,1.609,0.931,-54.504,174.561,9.155
-0.291,1.528,0.819,-43.518,173.523,-17.273
-0.333,1.462,0.730,-33.142,171.265,-41.016
-0.362,1.414,0.659,-23.376,167.297,-60.120
-0.382,1.352,0.574,-12.634,161.621,-74.341
-0.389,1.291,0.500,-1.221,155.762,-85.327
-0.379,1.212,0.410,10.132,150.452,-95.337
-0.378,1.111,0.285,21.851,145.996,-106.323
-0.369,1.030,0.193,30.640,142.456,-117.798
-0.349,0.941,0.109,33.142,137.207,-127.930
-0.323,0.836,0.044,31.250,130.188,-137.085
-0.305,0.756,0.012,28.381,121.338,-146.729
-0.288,0.692,-0.006,26.611,109.863,-155.151
-0.258,0.584,-0.042,26.367,96.008,-160.889
-0.216,0.457,-0.083,27.222,82.092,-165.405
-0.166,0.342,-0.089,27.283,69.458,-170.227
-0.130,0.231,-0.091,26.306,57.434,-174.194
-0.088,0.120,-0.087,24.170,45.532,-176.636
-0.022,0.018,-0.051,21.545,34.241,-177.063
0.049,-0.090,-0.004,19.043,22.461,-174.805
0.133,-0.194,0.047,16.418,10.071,-170.837
0.226,-0.271,0.118,13.367,-2.197,-164.734
0.313,-0.344,0.213,10.498,-14.038,-156.982
0.375,-0.405,0.310,8.728,-25.757,-149.048
0.413,-0.465,0.391,9.705,-36.621,-142.456
0.430,-0.523,0.461,10.803,-45.227,-137.390
0.429,-0.571,0.533,9.766,-51.697,-133.301
0.418,-0.584,0.633,6.897,-56.091,-129.211
0.411,-0.592,0.738,2.808,-59.875,-122.986
0.405,-0.600,0.823,-0.122,-62.622,-114.807
0.394,-0.586,0.902,-2.075,-62.805,-105.286

